r delAd derivDelAd
1 1.558418569522593e-03 3.885911140351929e-01  7.251939975137302e-05
2 2.313746277859202e-03 3.885911691017487e-01  7.352180099812120e-05
3 3.089766396170052e-03 3.885912270248801e-01  7.600649892342835e-05
4 3.985996264685965e-03 3.885912971053968e-01  8.071088581407600e-05
5 5.055345003820626e-03 3.885913875409955e-01  8.889720815649174e-05
6 6.376817724863043e-03 3.885915137853177e-01  1.028815226528251e-04
7 8.034607910669539e-03 3.885917029652061e-01  1.264713932961487e-04
8 1.012361402018319e-02 3.885920063621434e-01  1.657795773447736e-04
9 1.275623975203615e-02 3.885925161425399e-01  2.212243653815111e-04
10 1.585112733225120e-02 3.885932989918878e-01  2.842938399540328e-04
11 1.938795747565567e-02 3.885944278893034e-01  3.535763910809360e-04
12 2.320858729574258e-02 3.885959164576260e-01  4.250708564489351e-04
13 2.758330871828682e-02 3.885979474112344e-01  5.026645308006149e-04
14 3.335302980787107e-02 3.886011265768070e-01  5.980311436943697e-04
15 4.110691878373465e-02 3.886062213639897e-01  7.137067036943855e-04
16 5.124774085888036e-02 3.886142393093380e-01  8.736068357911065e-04
17 6.351105093254734e-02 3.886263790745109e-01  1.115008615921935e-03
18 7.913013640294475e-02 3.886466791853520e-01  1.498606452660875e-03
19 9.210649404661787e-02 3.886685506206404e-01  1.882173295374029e-03
20 1.001243976271129e-01 3.886846947885524e-01  2.148602820031873e-03
21 1.115144083185785e-01 3.887114998968711e-01  2.565732465566677e-03
22 1.199200717083161e-01 3.887344653208573e-01  2.902659089209861e-03
23 1.273947104415965e-01 3.887572818608881e-01  3.196967949520125e-03
24 1.350730673694821e-01 3.887828818213542e-01  3.465387207867183e-03
25 1.391668279257475e-01 3.887973357967827e-01  3.594450607077485e-03
26 1.467135504517895e-01 3.888252841595948e-01  3.806771413059687e-03
27 1.502154984804369e-01 3.888387701294486e-01  3.894018874076329e-03
28 1.546354400795204e-01 3.888562064651843e-01  3.993932103964060e-03
29 1.588599877076635e-01 3.888732619159815e-01  4.078784756753460e-03
30 1.618786066537593e-01 3.888856610455029e-01  4.136624696795810e-03
31 1.675962885485477e-01 3.889096374994648e-01  4.251256892657322e-03
32 1.703114444924936e-01 3.889212570445073e-01  4.308018702990288e-03
33 1.740743499108099e-01 3.889376194746645e-01  4.389161060520170e-03
34 1.777178537554498e-01 3.889537587064714e-01  4.470470531423777e-03
35 1.812529636071636e-01 3.889697055636713e-01  4.551939518879167e-03
36 1.846891929043885e-01 3.889854866242425e-01  4.633563714890242e-03
37 1.873725569809833e-01 3.889980120340613e-01  4.703937151280316e-03
38 1.925803812060461e-01 3.890229309817201e-01  4.873025682645682e-03
39 1.951110519679500e-01 3.890353844385487e-01  4.970683584379417e-03
40 2.002025419304805e-01 3.890612535611244e-01  5.197862108748065e-03
41 2.051236619105500e-01 3.890874533405037e-01  5.456416598038527e-03
42 2.076802836042987e-01 3.891015921706584e-01  5.605864057553846e-03
43 2.101962594955183e-01 3.891158920043227e-01  5.763031402540363e-03
44 2.126738113460751e-01 3.891303720536488e-01  5.927585171512181e-03
45 2.163591769715272e-01 3.891526611891675e-01  6.162867116972748e-03
46 2.188209250933567e-01 3.891680062009303e-01  6.301407014544083e-03
47 2.225301297370902e-01 3.891917247683774e-01  6.481980427238142e-03
48 2.249878412385836e-01 3.892077827590849e-01  6.582975064899059e-03
49 2.274139089874657e-01 3.892238596759947e-01  6.668087695495008e-03
50 2.316449155439241e-01 3.892523286167190e-01  6.781858428865371e-03
51 2.334632798134307e-01 3.892646938857016e-01  6.817216269248026e-03
52 2.361612213470911e-01 3.892831435850989e-01  6.857662457945649e-03
53 2.384858632303894e-01 3.892991162762416e-01  6.882924359915244e-03
54 2.406177995853214e-01 3.893138079383011e-01  6.898289894735440e-03
55 2.427295429757308e-01 3.893283849453389e-01  6.906150753942938e-03
56 2.455152589072327e-01 3.893476253169500e-01  6.905317014928525e-03
57 2.468957807406393e-01 3.893571550725572e-01  6.900180700257410e-03
58 2.492351720678710e-01 3.893732805079096e-01  6.884330592211925e-03
59 2.521130905401578e-01 3.893930826737881e-01  6.886027885593463e-03
60 2.540137008201950e-01 3.894061955510799e-01  6.916454015236115e-03
61 2.576305643035826e-01 3.894314071339965e-01  7.038746700095644e-03
62 2.593495731084050e-01 3.894435794649670e-01  7.126466049232370e-03
63 2.610580314992672e-01 3.894558426666920e-01  7.232541520272150e-03
64 2.627562907621220e-01 3.894682281489756e-01  7.356651744283453e-03
65 2.651115133151335e-01 3.894857866436125e-01  7.559578163248718e-03
66 2.686102557564559e-01 3.895127879805874e-01  7.869144839824047e-03
67 2.720704717950263e-01 3.895404941548649e-01  8.138961568937571e-03
68 2.737869082040059e-01 3.895545687940311e-01  8.259393889098758e-03
69 2.771941227218649e-01 3.895830826571446e-01  8.472111291328018e-03
70 2.800315881638903e-01 3.896073411113445e-01  8.622516537478747e-03
71 2.817442040651861e-01 3.896221770991022e-01  8.701536372251534e-03
72 2.834491427173917e-01 3.896370734949864e-01  8.771408202568914e-03
73 2.860539882976549e-01 3.896600381213952e-01  8.855513429856989e-03
74 2.873501309622068e-01 3.896715364047522e-01  8.885482038001862e-03
75 2.899304867644910e-01 3.896945174870987e-01  8.921638805170261e-03
76 2.924956146046570e-01 3.897174155625082e-01  8.926567372482793e-03
77 2.950564383961465e-01 3.897402483109076e-01  8.900642422569592e-03
78 2.976135986870596e-01 3.897629428088038e-01  8.844001316128825e-03
79 2.988872307880980e-01 3.897741823557449e-01  8.804325557089732e-03
80 3.014251368561986e-01 3.897964407641040e-01  8.745825756268822e-03
81 3.026895644135734e-01 3.898074926150229e-01  8.737696583388407e-03
82 3.056684322835921e-01 3.898335555736006e-01  8.773799709404985e-03
83 3.073807163482012e-01 3.898486229823613e-01  8.829665305789949e-03
84 3.090882203015645e-01 3.898637653984856e-01  8.910900507789934e-03
85 3.107911531150693e-01 3.898790270659805e-01  9.017305853369760e-03
86 3.125075872246882e-01 3.898946150543264e-01  9.150210709401852e-03
87 3.157872502902213e-01 3.899251328471526e-01  9.475784257631384e-03
88 3.180621749149192e-01 3.899469687249052e-01  9.714725991609396e-03
89 3.199107587564380e-01 3.899650840863864e-01  9.880158388430099e-03
