1.5584185695225927e-03   3.8859114361648373e-01   2.9796884794403286e-05
2.3137462778592020e-03   3.8859117099572021e-01   4.2699426904249912e-05
3.0897663961700519e-03   3.8859120927480006e-01   5.5843365000738652e-05
3.9859962646859653e-03   3.8859126606767802e-01   7.1209484823637727e-05
5.0553450038206263e-03   3.8859135221963198e-01   8.9720335376146439e-05
6.3768177248630428e-03   3.8859148573383845e-01   1.1249569837180587e-04
8.0346079106695389e-03   3.8859169606417354e-01   1.4137329885068953e-04
1.0123614020183191e-02   3.8859202956185224e-01   1.7798159868072204e-04
1.2756239752036151e-02   3.8859255895902373e-01   2.2663421061110798e-04
1.5851127332251202e-02   3.8859335330098027e-01   2.8605413469588942e-04
1.9387957475655668e-02   3.8859448382287071e-01   3.5587543534389078e-04
2.3208587295742579e-02   3.8859599303104048e-01   4.2665803104277984e-04
2.7583308718286816e-02   3.8859801804368882e-01   4.9159224663860700e-04
3.3353029807871068e-02   3.8860107280889561e-01   5.7675047012451636e-04
4.1106918783734646e-02   3.8860603778237179e-01   7.0774038641920848e-04
5.1247740858880363e-02   3.8861410901173910e-01   8.9138623068848294e-04
6.3511050932547344e-02   3.8862645620387232e-01   1.1060641778134264e-03
7.9130136402944751e-02   3.8864570579431162e-01   1.5169017669776751e-03
9.2106494046617873e-02   3.8866845636939301e-01   2.1659313166277104e-03
1.0012439762711293e-01   3.8868786716708764e-01   2.2208426804564588e-03
1.1151440831857848e-01   3.8870992508064289e-01   2.5074166394823236e-03
1.1992007170831606e-01   3.8873454249361561e-01   2.9742786249686371e-03
1.2739471044159648e-01   3.8875707730128217e-01   3.0565781515268157e-03
1.3507306736948213e-01   3.8878087604824391e-01   4.1676522028960784e-03
1.3916682792574753e-01   3.8880026887152902e-01   4.0453520894796193e-03
1.4671355045178947e-01   3.8882117340080580e-01   4.7003947190857077e-03
1.5021549848043692e-01   3.8884077086223823e-01   4.6184896336924691e-03
1.5463544007952040e-01   3.8885573030818615e-01   3.7268205319069968e-03
1.5885998770766349e-01   3.8887285651763709e-01   4.5474883377221382e-03
1.6187860665375930e-01   3.8888764812713217e-01   4.3320896921653059e-03
1.6759628854854774e-01   3.8890626577220594e-01   5.4950292025461494e-03
1.7031144449249355e-01   3.8892407232052539e-01   5.3806450287866943e-03
1.7407434991080989e-01   3.8893817824062327e-01   4.1055182964397727e-03
1.7771785375544980e-01   3.8895439560661960e-01   4.4781807520985926e-03
1.8125296360716364e-01   3.8897031957313710e-01   4.5385510479905734e-03
1.8468919290438854e-01   3.8898602874896560e-01   4.9346481344123500e-03
1.8737255698098332e-01   3.8900003088823704e-01   4.6685682858314710e-03
1.9258038120604615e-01   3.8901878942578599e-01   6.1222093941860067e-03
1.9511105196795003e-01   3.8903738194707133e-01   6.1735305779913093e-03
2.0020254193048051e-01   3.8905679510481550e-01   4.6058462217284900e-03
